case_id,legal_domain,case_type
CASE-000001,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000002,Child Protection,POCSO / Child Protection Proceeding
CASE-000003,Human Rights & PIL,Public Interest Litigation
CASE-000004,White Collar Crime,Money Laundering / Corruption Case
CASE-000005,Divorce & Matrimonial,Divorce Petition
CASE-000006,Intellectual Property,Trademark Infringement
CASE-000007,Immigration & Citizenship,Citizenship / Passport Matter
CASE-000008,Medical Negligence,Medical Negligence Complaint
CASE-000009,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000010,Education Law,Student Admission / Examination Dispute
CASE-000011,Consumer Protection,Deficiency in Service Complaint
CASE-000012,White Collar Crime,Money Laundering / Corruption Case
CASE-000013,Child Protection,POCSO / Child Protection Proceeding
CASE-000014,Tax & GST,GST / Tax Assessment Appeal
CASE-000015,Intellectual Property,Trademark Infringement
CASE-000016,Consumer Protection,Deficiency in Service Complaint
CASE-000017,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000018,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000019,Family & Succession,Inheritance / Probate
CASE-000020,Media & Defamation,Defamation Suit
CASE-000021,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000022,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000023,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000024,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000025,Divorce & Matrimonial,Divorce Petition
CASE-000026,Consumer Protection,Deficiency in Service Complaint
CASE-000027,Employment & Labour,Wrongful Termination
CASE-000028,Environmental Law,Environmental Clearance Challenge
CASE-000029,Divorce & Matrimonial,Divorce Petition
CASE-000030,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000031,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000032,Education Law,Student Admission / Examination Dispute
CASE-000033,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000034,Consumer Protection,Deficiency in Service Complaint
CASE-000035,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000036,Human Rights & PIL,Public Interest Litigation
CASE-000037,Tax & GST,GST / Tax Assessment Appeal
CASE-000038,Consumer Protection,Deficiency in Service Complaint
CASE-000039,Tax & GST,GST / Tax Assessment Appeal
CASE-000040,Medical Negligence,Medical Negligence Complaint
CASE-000041,Criminal Law,Criminal Trial
CASE-000042,White Collar Crime,Money Laundering / Corruption Case
CASE-000043,Divorce & Matrimonial,Divorce Petition
CASE-000044,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000045,Family & Succession,Inheritance / Probate
CASE-000046,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000047,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000048,Corporate & Commercial,Commercial Contract Dispute
CASE-000049,Tax & GST,GST / Tax Assessment Appeal
CASE-000050,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000051,Environmental Law,Environmental Clearance Challenge
CASE-000052,Consumer Protection,Deficiency in Service Complaint
CASE-000053,Medical Negligence,Medical Negligence Complaint
CASE-000054,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000055,Employment & Labour,Wrongful Termination
CASE-000056,Real Estate & Housing,Builder-Buyer / RERA Dispute
CASE-000057,White Collar Crime,Money Laundering / Corruption Case
CASE-000058,Cybercrime & IT,Online Fraud / Cybercrime
CASE-000059,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000060,Human Rights & PIL,Public Interest Litigation
CASE-000061,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000062,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000063,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000064,Banking & Finance,Loan Recovery / Cheque Dishonour
CASE-000065,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000066,Consumer Protection,Deficiency in Service Complaint
CASE-000067,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000068,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000069,Consumer Protection,Deficiency in Service Complaint
CASE-000070,Intellectual Property,Trademark Infringement
CASE-000071,Media & Defamation,Defamation Suit
CASE-000072,Education Law,Student Admission / Examination Dispute
CASE-000073,Environmental Law,Environmental Clearance Challenge
CASE-000074,Child Protection,POCSO / Child Protection Proceeding
CASE-000075,Tax & GST,GST / Tax Assessment Appeal
CASE-000076,Property & Land,Property / Partition Suit
CASE-000077,Human Rights & PIL,Public Interest Litigation
CASE-000078,Media & Defamation,Defamation Suit
CASE-000079,Administrative Law,Administrative Order Challenge
CASE-000080,Consumer Protection,Deficiency in Service Complaint
CASE-000081,Criminal Law,Criminal Trial
CASE-000082,Medical Negligence,Medical Negligence Complaint
CASE-000083,Consumer Protection,Deficiency in Service Complaint
CASE-000084,Data Privacy,Personal Data Misuse / Privacy Petition
CASE-000085,Medical Negligence,Medical Negligence Complaint
CASE-000086,Environmental Law,Environmental Clearance Challenge
CASE-000087,Medical Negligence,Medical Negligence Complaint
CASE-000088,Constitutional Law,Writ / Fundamental Rights Petition
CASE-000089,Arbitration,Arbitral Award Challenge
CASE-000090,Tax & GST,GST / Tax Assessment Appeal
CASE-000091,Corporate & Commercial,Commercial Contract Dispute
CASE-000092,Medical Negligence,Medical Negligence Complaint
CASE-000093,Contract & Agreement,Breach of Contract / Specific Performance
CASE-000094,Motor Accident Claims,Motor Accident Compensation Claim
CASE-000095,Child Protection,POCSO / Child Protection Proceeding
CASE-000096,Insolvency & Bankruptcy,Corporate Insolvency Resolution
CASE-000097,Criminal Law,Criminal Trial
